Sample,Rep,Set,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B3R1,3,Harvest,7.334,C3Gac,56,52.5,8.9,62.95,60
B3R2,1,Harvest,8.240,C3Gac,55,56.5,9.17,61.52,60
B3R2,2,Harvest,9.562,C3Gac,55,52.5,9.66,61.82,60
B3R2,3,Harvest,7.655,C3Gac,55,59,8.45,61.45,60
B3R3,1,Harvest,10.710,C3Gac,54,54,8.69,60.68,60
B3R3,2,Harvest,9.807,C3Gac,54,51,8.82,60.48,60
B3R3,3,Harvest,9.761,C3Gac,54,54,8.45,60.31,60
B1R2,1,1st point,5.747,C3Gac,56,55.5,6.57,60.8,60
B1R2,2,1st point,4.872,C3Gac,56,54.5,6.69,60.8,60
B1R2,3,1st point,4.882,C3Gac,56,55,5.95,60.5,60
B1R3,1,1st point,8.329,C3Gac,34,52.5,4.94,42,60
B1R3,2,1st point,6.727,C3Gac,34,53,5.25,42,60
B1R3,3,1st point,6.525,C3Gac,34,54.5,5.1,42.3,60
B1R4,1,1st point,8.698,C3Gac,36,51.5,5.8,44.8,60
B1R4,2,1st point,9.753,C3Gac,36,50,5.66,44.7,60
B1R4,3,1st point,7.816,C3Gac,36,54,6.27,45,60
B2R1,1,1st point,5.893,C3Gac,50,50,6.32,54.9,60
B2R1,2,1st point,5.737,C3Gac,50,53,5.99,54.9,60
B2R1,3,1st point,6.890,C3Gac,50,52,5.92,55.1,60
B2R2,1,1st point,13.777,C3Gac,54,52.5,6.6,59.6,60
B2R2,2,1st point,11.819,C3Gac,54,52,7.08,59.2,60
B2R2,3,1st point,9.885,C3Gac,54,54,6.92,59.3,60
B2R3,1,1st point,5.934,C3Gac,44,52,5.74,47,60
B2R3,2,1st point,4.770,C3Gac,44,51,5.77,47,60
B2R3,3,1st point,3.747,C3Gac,44,51.5,6.3,46.9,60
B3R1,1,1st point,9.500,C3Gac,48,57,6.38,51.9,60
B3R1,2,1st point,9.119,C3Gac,48,56,6.52,51.9,60
