Sample,Rep,Set,Concentration_mg_berry,Antho_type,Antho_short_name,treatment
B2R1,2,1st point,0.002606259,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2
B2R1,3,1st point,0.00273915,Cyanindin-3-(6-acetyl) glucoside,C3Gac,2
B2R1,1,Harvest,0.012620436,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2
B2R1,2,Harvest,0.011421865,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2
B2R1,3,Harvest,0.012629292,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2
B2R1,1,1st point,0.006892268,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2
B2R1,2,1st point,0.007271684,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2
B2R1,3,1st point,0.00781885,Petunidin-3-(6-acetyl) glucoside,Pet3Gac,2
B2R1,1,Harvest,0.015845923,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2
B2R1,2,Harvest,0.014507245,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2
B2R1,3,Harvest,0.015494357,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2
B2R1,1,1st point,0.008651864,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2
B2R1,2,1st point,0.009790608,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2
B2R1,3,1st point,0.010290563,Peonidin-3-(6-acetyl) glucoside,Peo3Gac,2
B2R1,1,Harvest,0.152186285,Malvidin-3-(6-acetyl) glucoside,M3Gac,2
B2R1,2,Harvest,0.143257454,Malvidin-3-(6-acetyl) glucoside,M3Gac,2
B2R1,3,Harvest,0.147134052,Malvidin-3-(6-acetyl) glucoside,M3Gac,2
B2R1,1,1st point,0.052888051,Malvidin-3-(6-acetyl) glucoside,M3Gac,2
B2R1,2,1st point,0.057773288,Malvidin-3-(6-acetyl) glucoside,M3Gac,2
B2R1,3,1st point,0.059993265,Malvidin-3-(6-acetyl) glucoside,M3Gac,2
B2R1,1,Harvest,0.008264996,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2
B2R1,2,Harvest,0.00778758,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2
B2R1,3,Harvest,0.008424019,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2
B2R1,1,1st point,0.005945283,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2
B2R1,2,1st point,0.006358331,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2
B2R1,3,1st point,0.006423744,Peonidin-3-(6-p-coumaroy) glucoside,Peo3Gpc,2
B2R1,1,Harvest,0.036895839,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2
B2R1,2,Harvest,0.033302979,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2
B2R1,3,Harvest,0.035637292,Malvidin-3-(6-p-coumaroy) glucoside,M3Gpc,2
